open_time,open_price,high_price,low_price,close_price,close_volume,close_time,quote_asset_volume,number_of_trades,taker_buy_quote_volume,taker_buy_base_volume,ignore
1641013200000,3707.29,3764.03,3702.33,3735.39,55353.713,1641016799999,206971659.79946,80796,30433.427,113745190.45926,0.0
1641016800000,3735.39,3742.43,3706.8,3710.97,26952.406,1641020399999,100398566.08435,47407,12025.298,44811831.24202,0.0
1641020400000,3710.97,3724.63,3701.16,3714.77,31352.936,1641023999999,116396796.15125,46191,15065.289,55947395.71007,0.0
1641024000000,3714.77,3733.33,3707.51,3720.98,30348.481,1641027599999,112966440.28661,45421,15088.196,56152848.89173,0.0
1641027600000,3720.98,3729.88,3707.59,3717.47,23029.992,1641031199999,85657536.03476,47601,10842.882,40336136.86692,0.0
1641031200000,3717.46,3731.7,3671.86,3690.72,69973.149,1641034799999,258761959.34217,90537,31940.96,118127794.0147,0.0
1641034800000,3690.76,3711.62,3690.22,3692.08,27432.057,1641038399999,101531096.38236,48336,13783.433,51021834.66117,0.0
1641038400000,3692.09,3718.0,3692.08,3715.15,24025.198,1641041999999,89069708.00853,46344,13265.789,49180721.82276,0.0
1641042000000,3715.43,3724.26,3704.48,3708.68,24097.775,1641045599999,89486245.02913,45499,11803.116,43831574.91267,0.0
1641045600000,3708.66,3712.25,3690.78,3696.0,23394.056,1641049199999,86623557.80197,48199,10933.544,40497124.94542,0.0
1641049200000,3696.0,3744.99,3691.41,3723.98,55285.549,1641052799999,205991016.57934,82437,30078.479,112085957.11684,0.0
1641052800000,3723.98,3747.66,3716.43,3726.46,38024.736,1641056399999,142019279.98513,55611,18435.832,68863927.73706,0.0
1641056400000,3726.46,3762.8,3725.58,3758.81,38512.871,1641059999999,144364806.04261,64096,21242.653,79620718.94944,0.0
1641060000000,3758.77,3765.0,3737.97,3750.16,28057.91,1641063599999,105174700.61989,50470,12662.363,47475280.93761,0.0
1641063600000,3750.16,3755.9,3732.99,3745.22,16854.142,1641067199999,63068166.58308,41041,8216.824,30747044.47068,0.0
1641067200000,3745.22,3776.33,3738.0,3759.1,28731.932,1641070799999,108029240.94163,53503,14826.701,55757925.25543,0.0
1641070800000,3759.1,3774.51,3744.12,3746.76,23998.548,1641074399999,90263422.41176,39577,11342.46,42671169.88473,0.0
